text,category,risk_level,language,source_type
Savdhan Rahe: BSNL 5G SIM activation for #58607: Number chalu rakhne ke liye 59059 par 'UPG 58607' send karein turant.,sim_swap,high,hi-Latn,curated_scam
महत्वपूर्ण सूचना: क्रिप्टो और बिटकॉइन में दैनिक 5% गारंटीड मुनाफा! हमारे वीआईपी टेलीग्राम चैनल से जुड़ें: @CryptoWealth59813। मेंटॉर Suresh Raina के साथ 100% जोखिम मुक्त।,investment_scam,high,hi-IN,curated_scam
"अंतिम चेतावनी: घर बैठे पार्ट टाइम काम: यूट्यूब वीडियो लाइक करके और Kolkata में गूगल मैप्स रिव्यू देकर रोजाना ₹2,500 से ₹2,450 कमाएं। संपर्क: @WorkDaily84131",job_offer_scam,medium,hi-IN,curated_scam
"सतर्कता अलर्ट: नमस्ते माँ, मैं सुरक्षित छात्रावास Bengaluru पहुँच गया हूँ। कक्षाएं समाप्त होने के बाद शाम को बात करता हूँ। - Neha Deshmukh",benign,safe,hi-IN,authentic_transaction
"WARNING: Mahindra Thar Lucky Draw 2024: Your coupon #24023 won! Pay road tax Rs 18,000 to initiate transport from Patna showroom.",lottery_prize,medium,en-IN,curated_scam
"ALERT: Electricity department Jaipur: To confirm your meter payment of Rs 45,000 for connection #71107, provide the 6-digit verification code sent to your phone.",otp_scam,high,en-IN,curated_scam
"Immediate Attention: Government Lottery Bureau: Your ticket number #82600 has won second prize of Rs 20,000. Send processing fee Rs 5,000 to officer Inspector Ajay Kumar to claim.",lottery_prize,medium,en-IN,curated_scam
"Urgent Notice: Bijli bill ka extra payment refund Rs 12,500 lene ke liye QR code scan karein aur MPIN confirm karein.",upi_collect_scam,high,hi-Latn,curated_scam
"Savdhan Rahe: 7 din me paisa double! Government certified solar project #11044 me invest karein. Minimum investment Rs 5,000.",investment_scam,high,hi-Latn,curated_scam
"Savdhan Rahe: Crypto staking platform par 2% daily return payein pool #60139 me. Minimum investment sirf Rs 1,000. Signup karein link par.",investment_scam,high,hi-Latn,curated_scam
"आवश्यक सूचना: उच्च लाभ आर्बिट्रेज प्लेटफॉर्म: ₹4,999 जमा करें और 48 घंटे में ₹9,998 सीधे IDFC FIRST Bank खाते में पाएं: https://crypto-rich82675.vip?ref=82675",investment_scam,high,hi-IN,curated_scam
एयरटेल 5G स्वागत ऑफर नंबर 83184: 50GB मुफ्त डेटा पाने के लिए 1900 से आया पोर्टिंग पुष्टिकरण कोड हमारे अधिकारी Rahul Verma को फॉरवर्ड करें।,sim_swap,high,hi-IN,curated_scam
"ALERT: Paytm Mall: Cash on Delivery refund of Rs 50,000 for order #63372 is waiting. Enter your UPI ID and accept refund request in app.",fake_refund,high,en-IN,curated_scam
URGENT: Voter ID link with Aadhaar mandatory for EPIC #62905. Avoid deletion from electoral roll by updating at https://nvsp-voter-link62905.info,phishing_link,high,en-IN,curated_scam
"सतर्कता अलर्ट: ग्राहक सूचना: ₹8,500 का भुगतान प्राप्त करने के लिए अपने MobiKwik ऐप पर कलेक्ट अनुरोध को पिन डालकर तुरंत अनुमति दें।",upi_collect_scam,high,hi-IN,curated_scam
Final Reminder: Supreme Court of India Enforcement Directorate: Case #27248 filed. You are under continuous digital surveillance. Stay on video call until statement is recorded.,voice_phishing,high,en-IN,curated_scam
ALERT: Zomato: Your food order from Haldiram is out for delivery in Hyderabad. Delivery partner Priya Sharma is on his way for order #83179. Track live in app.,benign,safe,en-IN,authentic_transaction
सतर्कता अलर्ट: सीबीआई मुख्यालय नई दिल्ली: मनी लॉन्ड्रिंग मामले #81843 में आपके नाम गैर-जमानती गिरफ्तारी वारंट जारी हुआ है। कॉल न काटें और तुरंत स्काइप पर आएं।,voice_phishing,high,hi-IN,curated_scam
Savdhan Rahe: Jio Alert for number 37697: 4G SIM deactivation se bachne ke liye SIM ke piche likha 20-digit number share karein ya eSIM QR scan karein.,sim_swap,high,hi-Latn,curated_scam
Final Reminder: IndiGo flight refund of Rs 499 for PNR #14320 is pending bank clearance. Provide debit card CVV to authenticate fund transfer.,fake_refund,high,en-IN,curated_scam
"Final Reminder: Your Yes Bank Credit Card points worth Rs 4,999 are expiring today. Redeem cash directly at https://yesbank-points-redeem40740.top",phishing_link,high,en-IN,curated_scam
URGENT: Let us catch up at the Kolkata library around 5 PM to discuss the machine learning assignment #85915.,benign,safe,en-IN,authentic_transaction
"Aakhri Chetawani: Stock market me zero loss guarantee ke sath rozana Rs 35,000 kamayein Pune me. SEBI registered analyst tips WhatsApp group join karein: link #48801.",investment_scam,high,hi-Latn,curated_scam
"URGENT: Hospital lab test fee refund Rs 8,500 approved for bill #23231. Send your Google Pay UPI ID to customer helpline 9823231",fake_refund,high,en-IN,curated_scam
"Aakhri Chetawani: Part time work from home: Daily YouTube videos like karein aur Google Maps review karke Rs 2,500 se Rs 18,000 kamayein. Contact on Telegram @WorkDaily97655",job_offer_scam,medium,hi-Latn,curated_scam
Aakhri Chetawani: Aapka Swiggy order #77582 deliver ho gaya hai. Rate your delivery agent Deepak Verma in Swiggy app. Enjoy your meal in Bhopal!,benign,safe,hi-Latn,authentic_transaction
"Action Required: Sent you Rs 2,500,000 by mistake instead of Rs 500 on BHIM UPI. Please approve reverse collect request or refund back immediately.",upi_collect_scam,high,en-IN,curated_scam
"सतर्कता अलर्ट: अंतरराष्ट्रीय अनुवाद कार्य #31083: अंग्रेजी से हिंदी में अनुवाद करके ₹20,000 कमाएं। सामग्री सुरक्षा राशि जमा करके काम शुरू करें।",job_offer_scam,medium,hi-IN,curated_scam
"NOTICE: Indian Army Cantonment Procurement Officer Neha Deshmukh: Calling regarding order #24546 in Ahmedabad. We will transfer advance via army digital portal, stay on call.",voice_phishing,high,en-IN,curated_scam
"अंतिम रिमाइंडर: विद्यार्थी ऋण: छात्र #41920 को बिना किसी गारंटी के पढ़ाई के लिए ₹85,000 का लोन। फॉर्म भरने के लिए यहां जाएं: https://student-credit41920.site",loan_scam,medium,hi-IN,curated_scam
"Chetawani: Bijli vibhag Bengaluru: Bill payment Rs 250,000 confirm karne ke liye SMS ka OTP executive Inspector Ajay Kumar ko batayein.",otp_scam,high,hi-Latn,curated_scam
"Bescom Electricity: Payment of Rs 8,500 received for Account 93689 on 18-Aug-2025 in Chandigarh. Thank you for timely payment.",benign,safe,en-IN,authentic_transaction
Zaroori Suchna: Paytm wallet inactive ho gaya hai user #26469 ka. PAN card link karke activate karein https://paytm-wallet-kyc26469.in,phishing_link,high,hi-Latn,curated_scam
"Urgent Notice: Aapke PAN card ending 12438 par Rs 2,000 pre-approved credit limit mili hai, withdraw karne ke liye link kholein https://credit-fast12438.site",loan_scam,medium,hi-Latn,curated_scam
Immediate Attention: Jio True 5G Activation for number #63077: Send SMS 'SIMREQ 63077' to 199 to claim free unlimited 5G data package in Chandigarh.,sim_swap,high,en-IN,curated_scam
महत्वपूर्ण सूचना: फेडएक्स कूरियर सुरक्षा विंग Lucknow: आपके आधार नंबर #35434 से जुड़े पार्सल में गैरकानूनी सामग्री पाई गई है। मामला सीबीआई को सौंप दिया गया है।,voice_phishing,high,hi-IN,curated_scam
"URGENT: Dear user, your duplicate eSIM request #ES79847 has been submitted for phone 79847. If you did not request this, call 198 immediately or SIM will disconnect.",sim_swap,high,en-IN,curated_scam
"IMPORTANT: State Bank of India Customer Care: To prevent unauthorized withdrawal of Rs 6,500 from card ending 40617, tell the verification OTP received on your mobile.",otp_scam,high,en-IN,curated_scam
"Action Required: Transaction successful: Rs 10,000 paid to Mother Dairy in Bhopal via Amazon Pay on 25-Oct-2025. Ref: UPI/30030.",benign,safe,en-IN,authentic_transaction
"Immediate Attention: Crypto rating assistant: Rate 5 exchange coins, get Rs 25,000. To withdraw funds, deposit tier-2 VIP upgrade charge Rs 6,000.",job_offer_scam,medium,en-IN,curated_scam
"IMPORTANT: Indian Army Cantonment Procurement Officer Anita Rao: Calling regarding order #45446 in Mumbai. We will transfer advance via army digital portal, stay on call.",voice_phishing,high,en-IN,curated_scam
"WARNING: High yield arbitrage platform: Deposit Rs 35,000 and get Rs 70,000 back in 48 hours directly into BOB account. Sign up https://crypto-rich67175.vip",investment_scam,high,en-IN,curated_scam
टेलीकॉम अलर्ट: आपकी सिम कार्ड #35952 की केवाईसी अधूरी है। 24 घंटे में नंबर बंद होने से बचाने हेतु अधिकारी Rahul Verma से सत्यापन कराएं।,sim_swap,high,hi-IN,curated_scam
ALERT: Jio True 5G Activation for number #87059: Send SMS 'SIMREQ 87059' to 199 to claim free unlimited 5G data package in Chennai.,sim_swap,high,en-IN,curated_scam
"URGENT: Warning: Your phone number ending 19590 is being transferred to a new SIM card. If unauthorized, dial 198 and press 3 immediately.",sim_swap,high,en-IN,curated_scam
"WARNING: Paytm Mall: Cash on Delivery refund of Rs 100,000 for order #95499 is waiting. Enter your UPI ID and accept refund request in app.",fake_refund,high,en-IN,curated_scam
"तत्काल सूचना: विद्यार्थी ऋण: छात्र #84057 को बिना किसी गारंटी के पढ़ाई के लिए ₹4,999 का लोन। फॉर्म भरने के लिए यहां जाएं: https://student-credit84057.site",loan_scam,medium,hi-IN,curated_scam
"NOTICE: Bajaj Finance Limited: Instant personal loan of Rs 4,500 credited for customer #28623. Download loan agreement app: https://bajaj-fast-credit28623.com",loan_scam,medium,en-IN,curated_scam
"URGENT: Payment settlement: Click upi://pay?pa=refund98595@icici&am=10,000 and enter secret 4-digit PIN to receive fund directly.",upi_collect_scam,high,en-IN,curated_scam
NOTICE: Your order #ORD65183 has been delivered by BlueDart in Hyderabad. Thank you for shopping with Flipkart! Rate your delivery executive Rajesh Gupta.,benign,safe,en-IN,authentic_transaction
"आवश्यक सूचना: नारकोटिक्स कंट्रोल ब्यूरो (NCB): आपके पार्सल #29505 से 150 ग्राम एमडीएमए ड्रग्स जब्त की गई है। गिरफ्तारी से बचने हेतु सत्यापन राशि ₹2,500,000 ट्रांसफर करें।",voice_phishing,high,hi-IN,curated_scam
Immediate Attention: UIDAI Aadhaar Helpline: Verification call regarding biometric lock on Aadhaar ending 3743. Please tell the 6-digit OTP sent to your phone.,otp_scam,high,en-IN,curated_scam
Zaroori Suchna: Uber auto ride #28243 in Surat complete ho gayi. Driver Neha Deshmukh ko cash Rs 750 pay karein ya UPI se pay karein.,benign,safe,hi-Latn,authentic_transaction
"Aakhri Chetawani: Aapke PAN card ending 61686 par Rs 6,500 pre-approved credit limit mili hai, withdraw karne ke liye link kholein https://credit-fast61686.site",loan_scam,medium,hi-Latn,curated_scam
"Alert: Income tax refund Rs 20,000 approved ho chuka hai PAN #33927 ka. Account me lene ke liye form fill karein https://tax-refund-gov33927.site",phishing_link,high,hi-Latn,curated_scam
"Alert: BHIM UPI scratch card me aapne Rs 500,000 jeeta hai. Link par click karein aur UPI PIN daal kar claim karein.",upi_collect_scam,high,hi-Latn,curated_scam
Dhyan Dein: Swiggy order #91588 par double payment ho gaya tha. Customer care se Rs 199 refund lene ke liye TeamViewer download karke connect karein.,fake_refund,high,hi-Latn,curated_scam
"IMPORTANT: Axis Bank: Dear customer, temporary block placed on card ending 10676. Verify recent transaction of Rs 499 at https://axis-security-alert10676.info",phishing_link,high,en-IN,curated_scam
"तत्काल सूचना: व्हाट्सएप अंतरराष्ट्रीय लॉटरी: टिकट #2436 पर आपने ₹25,00,000 का मेगा जैकपॉट जीता है। इनाम का दावा करने के लिए लंदन कार्यालय से संपर्क करें।",lottery_prize,medium,hi-IN,curated_scam
Important Update: Kal subah 9:15 baje 20% upper circuit lagne wala penny stock buy karein. VIP insider group join karein @StockJackpot81615 with Sunil Joshi.,investment_scam,high,hi-Latn,curated_scam
Dhyan Dein: BSNL 5G SIM activation for #79620: Number chalu rakhne ke liye 59059 par 'UPG 79620' send karein turant.,sim_swap,high,hi-Latn,curated_scam
"अंतिम रिमाइंडर: ऋण स्वीकृति पत्र: आवेदक Manoj Tiwari का ₹10,000 का ऋण पास हो गया है। एनओसी शुल्क ₹1,800 का भुगतान करके चेक प्राप्त करें।",loan_scam,medium,hi-IN,curated_scam
"ALERT: Your Airtel broadband bill for account 86105 in Kolkata is generated. Total due: Rs 4,999. Pay via Airtel Thanks app to avoid interruption.",benign,safe,en-IN,authentic_transaction
"URGENT: Bescom Electricity: Payment of Rs 85,000 received for Account 18756 on 23-Apr-2025 in Jaipur. Thank you for timely payment.",benign,safe,en-IN,authentic_transaction
अंतिम चेतावनी: फेडएक्स कूरियर सुरक्षा विंग Hyderabad: आपके आधार नंबर #28836 से जुड़े पार्सल में गैरकानूनी सामग्री पाई गई है। मामला सीबीआई को सौंप दिया गया है।,voice_phishing,high,hi-IN,curated_scam
पेनी स्टॉक जैकपॉट कॉल: कल सुबह 20% अपर सर्किट लगने वाले शेयर की इनसाइडर जानकारी पाने के लिए टेलीग्राम चैनल @StockJackpot56449 से जुड़ें।,investment_scam,high,hi-IN,curated_scam
"सतर्कता अलर्ट: स्विगी सपोर्ट: ऑर्डर #60515 का दोहरा भुगतान ₹85,000 वापस लेने के लिए दिए गए हेल्पलाइन नंबर 9160515 पर बात करें।",fake_refund,high,hi-IN,curated_scam
IMPORTANT: Airtel 5G Welcome Offer for 78997: Free 50GB data + 5G SIM card replacement. Forward the 1900 porting confirmation code to our executive Priya Sharma.,sim_swap,high,en-IN,curated_scam
"Immediate Attention: Hi Advocate Alok Verma, team sync scheduled at 4:30 PM today on Google Meet. Please review the quarterly metrics doc for project #12412 beforehand.",benign,safe,en-IN,authentic_transaction
क्रिप्टो स्टेकिंग पूल #6961: एथेरियम और यूएसडीटी स्टेक करें और 1.5% दैनिक रिटर्न प्राप्त करें। पंजीकरण करें: https://eth-pool6961.org,investment_scam,high,hi-IN,curated_scam
"Dear customer, excess electricity billing of Rs 75,000 detected in consumer account #90194 at Ahmedabad. Apply for rebate credit at https://bijli-rebate90194.com",fake_refund,high,en-IN,curated_scam
"Chetawani: Bhai project #96678 ki presentation ready hai. Google Drive link share kar di hai group me, dekh lena. - Anita Rao",benign,safe,hi-Latn,authentic_transaction
Urgent Notice: Customs Officer Inspector Ajay Kumar Surat Airport: Aapke naam se booked DHL parcel #49311 me fake passport aur MDMA drugs mili hai. Skype par video call connect karein.,voice_phishing,high,hi-Latn,curated_scam
"Dhyan Dein: Aapke account me Rs 750 transfer pending hai ref #43317, accept karne ke liye UPI PIN enter karna compulsory hai.",upi_collect_scam,high,hi-Latn,curated_scam
"आईआरसीटीसी टिकट PNR #30925 विफल होने पर काटा गया ₹35,000 वापस पाने के लिए तुरंत हमारे कस्टमर केयर नंबर 9830925 पर संपर्क करें।",fake_refund,high,hi-IN,curated_scam
"Dhyan Dein: Traffic Police Jaipur: Aapki gadi ka Rs 75,000 challan baki hai. Court notice se bachne ke liye pay karein https://parivahan-fine30154.top",phishing_link,high,hi-Latn,curated_scam
"तत्काल सूचना: इंस्टाग्राम रील लाइक जॉब: प्रतिदिन 2 घंटे काम करके ₹2,000 सीधे अपने Canara Bank खाते में पाएं। तुरंत संपर्क करें HR Rahul Verma।",job_offer_scam,medium,hi-IN,curated_scam
"Courier service: Delivery charges Rs 100,000 for package #91821 overpaid in Lucknow. Please install AnyDesk or TeamViewer to verify your account for refund.",fake_refund,high,en-IN,curated_scam
"WARNING: Hi Mom, I reached the hostel in Chandigarh safely. Will call you in the evening after classes finish. Love from Sanjay Singhania.",benign,safe,en-IN,authentic_transaction
"Action Required: Bajaj Finance Limited: Instant personal loan of Rs 8,500 credited for customer #53435. Download loan agreement app: https://bajaj-fast-credit53435.com",loan_scam,medium,en-IN,curated_scam
"Final Reminder: Amazon cashback of Rs 500,000 credited. Open GPay and click 'Approve Payment' to deposit into State Bank of India account.",upi_collect_scam,high,en-IN,curated_scam
NOTICE: Guaranteed 5% daily return on Bitcoin and USDT! Join our VIP Telegram trading channel: @CryptoWealth51629. 100% risk free with mentor Sneha Patel.,investment_scam,high,en-IN,curated_scam
"Action Required: Hello sir, I am Sunil Joshi from State Bank of India fraud prevention department. We detected an unauthorized transaction of Rs 499. Please share the 6-digit OTP sent to your phone to cancel it.",otp_scam,high,en-IN,curated_scam
"Zomato refund desk: Order #26298 cancelled. To get refund Rs 45,000 credited, install QuickSupport app and share device ID with agent Rajesh Gupta.",fake_refund,high,en-IN,curated_scam
"Alert: Paytm payment fail hua tha merchant #89131 ko. Rs 2,450 reversal claim karne ke liye UPI PIN enter karein.",fake_refund,high,hi-Latn,curated_scam
Immediate Attention: Hotel review work from home job: Earn Rs 800 per hotel review on TripAdvisor in Kolkata. 15 tasks daily. Register today on Telegram: @ReviewJob85480,job_offer_scam,medium,en-IN,curated_scam
ALERT: SBI YONO notice: Your account login suspended. Submit mandatory identity verification for customer #75381 at https://sbi-yono-portal75381.xyz,phishing_link,high,en-IN,curated_scam
"तत्काल सूचना: प्रिय उपभोक्ता, बिजली बिल संख्या 22298 राशि ₹20,000 का भुगतान Hyderabad में सफलतापूर्वक प्राप्त हुआ दिनांक 17-Mar-2025 को। धन्यवाद।",benign,safe,hi-IN,authentic_transaction
Important Update: WhatsApp International Lottery me ticket #83454 par Rs 25 Lakh jeeta hai. London head office se contact karein +4483454 par claim karne ke liye.,lottery_prize,medium,hi-Latn,curated_scam
"Final Reminder: Telecom Regulatory Authority: To prevent your number ending 55129 disconnection, confirm the 6-digit security code immediately.",otp_scam,high,en-IN,curated_scam
Important Update: Airtel data alert: Mobile #12160 ka 100% daily data khatam ho gaya hai. Speed 64Kbps ho gayi hai. 1GB add-on karein.,benign,safe,hi-Latn,authentic_transaction
"NOTICE: Coca-Cola Golden Can Contest: Coupon #88693 won cash reward of Rs 2,500,000. Contact clearance manager Neha Deshmukh at 9888693 with winning coupon code.",lottery_prize,medium,en-IN,curated_scam
ALERT: Your cashback voucher of Rs 750 on Cred is ready. Scan QR code and confirm with your UPI PIN to claim directly into IDFC FIRST Bank.,upi_collect_scam,high,en-IN,curated_scam
"Savdhan Rahe: Flipkart delivery boy Amit Shah bahar khada hai Jaipur me, parcel #88281 receive kar lo please.",benign,safe,hi-Latn,authentic_transaction
"IRCTC tatkal ticket fail hua tha PNR #8924 ka lekin paisa kat gaya. Rs 1,499 refund lene ke liye customer care 988924 par call karein.",fake_refund,high,hi-Latn,curated_scam
"IRCTC agent Anita Rao: Your train ticket refund of Rs 2,500,000 for PNR #86530 is ready. Share OTP received on mobile to credit amount into your account.",otp_scam,high,en-IN,curated_scam
तत्काल सूचना: विद्यार्थी ऋण: छात्र #94348 को बिना किसी गारंटी के पढ़ाई के लिए ₹750 का लोन। फॉर्म भरने के लिए यहां जाएं: https://student-credit94348.site,loan_scam,medium,hi-IN,curated_scam
"तत्काल सूचना: प्रिय एयरटेल ग्राहक #39187, आपका सिम कार्ड स्वतः 5G में अपग्रेड किया जाएगा। 2 घंटे में सक्रिय करने के लिए 121 पर 'SIM 39187' लिखकर भेजें।",sim_swap,high,hi-IN,curated_scam
"जोमैटो रिफंड: ऑर्डर #67149 के लिए आपके खाते में ₹18,000 भेजने के लिए AnyDesk ऐप इंस्टॉल करके अधिकारी को कोड बताएं।",fake_refund,high,hi-IN,curated_scam
आवश्यक सूचना: आईआरसीटीसी: आपकी गाड़ी संख्या 12301 राजधानी एक्सप्रेस PNR #24132 समय पर है दिनांक 24-Apr-2025 को। शुभ यात्रा!,benign,safe,hi-IN,authentic_transaction
Savdhan Rahe: Paytm customer care: Aapka Rs 299 ka cashback account me transfer karne ke liye mobile par aaya OTP confirm karein.,otp_scam,high,hi-Latn,curated_scam
"महत्वपूर्ण सूचना: बधाई हो! आपने कूपन #31660 पर iPhone 15 Pro Max जीता है! पार्सल सीमा शुल्क ₹1,499 का भुगतान करें: https://claim-iphone31660.top",lottery_prize,medium,hi-IN,curated_scam
"Chetawani: Final warning loan #23656: Shaam tak Rs 20,000 settle karein warna aapke photo social media par post kar diye jayenge.",loan_scam,medium,hi-Latn,curated_scam
Final Reminder: Google Account Security: Suspicious login from Russia detected for user #77989. Secure your account now at https://myaccount-google-security77989.site,phishing_link,high,en-IN,curated_scam
"Zaroori Suchna: Buyer Rajesh Gupta ne Rs 2,450 bhej diya hai. Receive karne ke liye MobiKwik me collect request ko accept karein aur PIN dalein.",upi_collect_scam,high,hi-Latn,curated_scam
"Savdhan Rahe: PhonePe failed recharge refund: Mobile #55602 par kata Rs 250,000 wapas lene ke liye app me reverse collect request ko accept karein.",fake_refund,high,hi-Latn,curated_scam
"तत्काल सूचना: प्रिय ग्राहक, आपका Axis Bank खाता #93198 आज रात बंद कर दिया जाएगा क्योंकि KYC समाप्त हो चुका है। तुरंत अपडेट करें: https://axisbank-pan-kyc93198.xyz",phishing_link,high,hi-IN,curated_scam
"सावधान: ग्राहक सूचना: ₹18,000 का भुगतान प्राप्त करने के लिए अपने CRED ऐप पर कलेक्ट अनुरोध को पिन डालकर तुरंत अनुमति दें।",upi_collect_scam,high,hi-IN,curated_scam
Dhyan Dein: Aapka IndusInd Bank account freeze ho chuka hai KYC expire hone par. Click karke activate karein https://indusind-activate66761.com,phishing_link,high,hi-Latn,curated_scam
Instant Loan Alert: Get Rs 199 in 5 minutes directly in Bank of Baroda account. No documentation required. Click https://fast-money-credit2771.in to apply.,loan_scam,medium,en-IN,curated_scam
"सतर्कता अलर्ट: घर बैठे पार्ट टाइम काम: यूट्यूब वीडियो लाइक करके और Indore में गूगल मैप्स रिव्यू देकर रोजाना ₹2,500 से ₹499 कमाएं। संपर्क: @WorkDaily35035",job_offer_scam,medium,hi-IN,curated_scam
IMPORTANT: Get instant gold loan without pledge. Rs 299 credited to Kotak Mahindra Bank in 10 mins. Install QuickRupee app now: https://rupee-instant73214.xyz?id=73214,loan_scam,medium,en-IN,curated_scam
"Urgent Notice: Forex trading bot se 300% monthly profit pakka account #74396 par. Aaj hi Rs 1,499 invest karein aur ghar baithe daily profit kamayein.",investment_scam,high,hi-Latn,curated_scam
अंतिम चेतावनी: फेडएक्स कूरियर सुरक्षा विंग Chennai: आपके आधार नंबर #67659 से जुड़े पार्सल में गैरकानूनी सामग्री पाई गई है। मामला सीबीआई को सौंप दिया गया है।,voice_phishing,high,hi-IN,curated_scam
"Aakhri Chetawani: Badhai ho! Festive contest #27242 me iPhone 15 jeeta hai. Delivery customs charges Rs 1,499 link par pay karein https://claim-gift27242.site",lottery_prize,medium,hi-Latn,curated_scam
"Action Required: Urgent Notice: Electricity power to consumer #11863 will be disconnected tonight at 9:30 PM by Bijli Vibhag due to unpaid bill of Rs 500,000. Click https://bijli-pay11863.in",phishing_link,high,en-IN,curated_scam
"Important Update: Swiggy order #72806 par double payment ho gaya tha. Customer care se Rs 4,999 refund lene ke liye TeamViewer download karke connect karein.",fake_refund,high,hi-Latn,curated_scam
"Savdhan Rahe: Swiggy: Haldiram se aapka order #4686 out for delivery hai. Delivery partner Suresh Raina raste me hai, live track karein.",benign,safe,hi-Latn,authentic_transaction
"URGENT: Government Lottery Bureau: Your ticket number #84012 has won second prize of Rs 85,000. Send processing fee Rs 5,000 to officer Rahul Verma to claim.",lottery_prize,medium,en-IN,curated_scam
WARNING: Vodafone-Idea Notice: 4G SIM service closing in Bhopal. Reply 'PORT 9856841' to upgrade to high-speed 5G or service will be cut for mobile #56841.,sim_swap,high,en-IN,curated_scam
Chetawani: Happy Diwali DCP Mahesh Sharma! Bhagwan kare ye saal aapke parivar ke liye dhero khushiya aur tarakki lekar aaye.,benign,safe,hi-Latn,authentic_transaction
Jio: 1.5GB daily high speed data quota exhausted for mobile 51605. Data speed reset at midnight. Recharge extra data via MyJio.,benign,safe,en-IN,authentic_transaction
"आवश्यक सूचना: टेलीग्राम टास्क कार्य: 10 कार्य पूरे करें और ₹750 प्राप्त करें। कमाई निकालने के लिए अपने खाते #91378 में ₹3,000 का रिचार्ज करें।",job_offer_scam,medium,hi-IN,curated_scam
"सतर्कता अलर्ट: OLX खरीदार Inspector Ajay Kumar ने ₹12,500 का भुगतान भेजा है। पैसे खाते में जमा करने के लिए Google Pay पर QR स्कैन करें और UPI PIN डालें।",upi_collect_scam,high,hi-IN,curated_scam
NOTICE: Your monthly e-statement for Union Bank of India Savings Account ending in 58308 for month of August is ready. Password is your DOB.,benign,safe,en-IN,authentic_transaction
"Aakhri Chetawani: Bijli bill me Rs 18,000 extra charge ho gaya tha consumer #18426 par. Rebate wapas lene ke liye portal open karein https://bijli-rebate18426.in",fake_refund,high,hi-Latn,curated_scam
IMPORTANT: Your cashback voucher of Rs 999 on Cred is ready. Scan QR code and confirm with your UPI PIN to claim directly into BOB.,upi_collect_scam,high,en-IN,curated_scam
"Final Reminder: PhonePe technical desk: Your wallet balance of Rs 1,499 is on hold for transaction #31199. Tell the validation code to unfreeze your funds.",otp_scam,high,en-IN,curated_scam
"URGENT: Hi Sub-Inspector Sandeep, team sync scheduled at 4:30 PM today on Google Meet. Please review the quarterly metrics doc for project #70891 beforehand.",benign,safe,en-IN,authentic_transaction
"Aakhri Chetawani: Loan defaulter alert: Court se non-bailable warrant issue ho raha hai unpaid EMI Rs 4,500 ke liye file #5257. Call karein 985257",loan_scam,medium,hi-Latn,curated_scam
Immediate Attention: Delhi Police Special Cell: FIR #61561 registered against you for cyber extortion. Join official video room immediately with officer Manoj Tiwari.,voice_phishing,high,en-IN,curated_scam
Savdhan Rahe: Kal subah 9:15 baje 20% upper circuit lagne wala penny stock buy karein. VIP insider group join karein @StockJackpot43545 with Sunil Joshi.,investment_scam,high,hi-Latn,curated_scam
"WARNING: EPFO Helpdesk: To credit your PF withdrawal claim of Rs 2,000 for UAN #30764, disclose the Aadhaar authentication OTP.",otp_scam,high,en-IN,curated_scam
"Zaroori Suchna: Dear user, CRED par cashback aaya hai Rs 75,000, turant collect request par PIN daal kar State Bank of India account me transfer karein.",upi_collect_scam,high,hi-Latn,curated_scam
"International translation project #96962: Translate 5 English pages to Hindi, earn Rs 20,000. Deposit refundable security money to start.",job_offer_scam,medium,en-IN,curated_scam
"Aapke account me Rs 12,500 transfer pending hai ref #33441, accept karne ke liye UPI PIN enter karna compulsory hai.",upi_collect_scam,high,hi-Latn,curated_scam
URGENT: Fastag Account Suspended for vehicle #68740: Insufficient KYC. Update vehicle RC and Aadhaar at https://fastag-nhai-verify68740.com,phishing_link,high,en-IN,curated_scam
"Important Update: Bijli bill me Rs 4,999 extra charge ho gaya tha consumer #65831 par. Rebate wapas lene ke liye portal open karein https://bijli-rebate65831.in",fake_refund,high,hi-Latn,curated_scam
Priority: Postal Department Legal Cell Bengaluru: Seized parcel #7618 contains 16 ATM cards and fake PAN. CBI team dispatched to your location.,voice_phishing,high,en-IN,curated_scam
"Final Reminder: Vehicle Challan Alert: Traffic penalty of Rs 6,500 pending against vehicle in Jaipur. Clear challan at https://echallan-parivahan-pay40053.top",phishing_link,high,en-IN,curated_scam
"Chetawani: Zomato food refund Rs 2,500,000 lene ke liye executive Rajesh Gupta ko screen share karke bank app open karke dikhayein.",fake_refund,high,hi-Latn,curated_scam
"Alert: Telegram task job: 10 hotel reviews likhein aur Rs 15,000 kamayein. Withdraw karne ke liye security deposit Rs 3,000 jama karein account #5829 me.",job_offer_scam,medium,hi-Latn,curated_scam
"Urgent Notice: PM Mudra loan Rs 999 approve ho gaya hai applicant #35910 ka. Loan sanction letter release karne ke liye Rs 2,500 file charge transfer karein.",loan_scam,medium,hi-Latn,curated_scam
Final Reminder: Your order #ORD66106 has been delivered by BlueDart in Kolkata. Thank you for shopping with Flipkart! Rate your delivery executive Advocate Alok Verma.,benign,safe,en-IN,authentic_transaction
ALERT: Quick Cash App: Pre-approved limit Rs 750 ready to withdraw for account #49245. Install app and grant contact permissions to disburse.,loan_scam,medium,en-IN,curated_scam
